dcsname,uuid,cat
ski/bindings/youth,89bc2302-30cc-4da7-af5c-b5eeda4caf4c,Skiing > Bindings > Downhill Bindings
ski/boots/accessory,5a7ec962-9aa7-4ef2-a63d-7146d7a115c2,"Skiing > Training, Accessories, Backcountry & Other > Other"
ski/boots/liner,5a7ec962-9aa7-4ef2-a63d-7146d7a115c2,"Skiing > Training, Accessories, Backcountry & Other > Other"
ski/boots/mens,"	22b5b42a-68c3-4927-9f93-fde549898a5d",Skiing > Boots > Downhill Boots
ski/boots/parts,"	22b5b42a-68c3-4927-9f93-fde549898a5d",Skiing > Boots > Downhill Boots
ski/boots/womens,"	22b5b42a-68c3-4927-9f93-fde549898a5d",Skiing > Boots > Downhill Boots
ski/boots/youth,"	22b5b42a-68c3-4927-9f93-fde549898a5d",Skiing > Boots > Downhill Boots
ski/poles/accessory,5a7ec962-9aa7-4ef2-a63d-7146d7a115c2,"Skiing > Training, Accessories, Backcountry & Other > Other"
ski/poles/adult,456d28fa-a3bd-4d98-aa7b-6cd43ff03fe9,Skiing > Poles
ski/poles/baskets,5a7ec962-9aa7-4ef2-a63d-7146d7a115c2,"Skiing > Training, Accessories, Backcountry & Other > Other"
ski/poles/youth,456d28fa-a3bd-4d98-aa7b-6cd43ff03fe9,Skiing > Poles
ski/skis/men,19d750c7-bc15-431c-bb83-e647ceab40ce,Skiing > Skis > Downhill Skis
ski/skis/women,19d750c7-bc15-431c-bb83-e647ceab40ce,Skiing > Skis > Downhill Skis
ski/skis/youth,19d750c7-bc15-431c-bb83-e647ceab40ce,Skiing > Skis > Downhill Skis
ski/socks/adult,b3d547e7-2f1f-424b-bb3b-00268a0b2298,Skiing > Apparel & Outerwear > Ski Socks
ski/socks/youth,b3d547e7-2f1f-424b-bb3b-00268a0b2298,Skiing > Apparel & Outerwear > Ski Socks
ski/tune/wax,8f6bf410-7893-4b97-8c15-98197111ce73,"Skiing > Training, Accessories, Backcountry & Other > Tuning & Wax"
ski/tuning/tool,8f6bf410-7893-4b97-8c15-98197111ce73,"Skiing > Training, Accessories, Backcountry & Other > Tuning & Wax"
ski/x-country/bindings,9e436858-26ca-41ae-9206-e9fa90691172,Skiing > Bindings > Cross Country Bindings
ski/x-country/boots,57f1aff4-8ffc-48d8-a524-057a1cb15699,Skiing > Boots > Cross Country Boots
ski/x-country/skis,1b803ee2-b6b2-4e1e-94dd-7632586ec296,Skiing > Skis > Cross Country Skis
snowboard/accessory,cfd33ce4-7b67-4005-a639-100eea0ffd09,"Snowboarding > Training, Accessories, Backcountry & Other > Other"
snowboard/bags/backpack,76e7a978-fb06-42dd-990e-30fbef5876e2,Snowboarding > Bags & Packs > Backpacks
snowboard/bags/board bag,84e9eb0f-225e-46a8-b1c0-9373782bc5e7,Snowboarding > Bags & Packs > Board Bags
snowboard/bags/outerwear/,,
